"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"Q_extraSD_7_WA_REC(7)","0.391848","0.362492","0.433574","0.388994","0.389242","0.249243","0.190729","0.245465","0.344591","0.51128","0.388442","0.385317","0.391568","0.391468","0.388586","0.391851","0.394395","0.384615","0.384372","0.39424","0.362492","0.336988","0.167734","0.286912","0.370359","0.389554","0.388595"
"Q_extraSD_8_CACPFV(8)","0.111012","0.125322","0.0911866","0.111803","0.113898","0.227127","0.27127","0.23005","0.150526","0.0240675","0.114","0.114657","0.111261","0.109646","0.112017","0.11101","0.162758","0.0880749","0.0753875","0.140086","0.125322","0.138946","0.17408","0.126883","0.125103","0.13651","0.112009"
"Q_extraSD_9_OR_RECOB(9)","0.199408","0.201046","0.196088","0.199527","0.199268","0.200096","0.200686","0.200116","0.199978","0.204136","0.199316","0.199356","0.199398","0.199349","0.199311","0.199408","0.198061","0.199951","0.200351","0.198671","0.201046","0.219686","0.200535","0.198872","0.20218","0.2027","0.199311"
"Q_extraSD_10_TRI_ORWA(10)","0.118175","0.132868","0.101951","0.119582","0.120572","0.203201","0.261047","0.206302","0.136732","0.100426","0.120348","0.120905","0.118257","0.119037","0.119881","0.118174","0.117345","0.121819","0.121365","0.117315","0.132868","0.12137","0.370042","0.200696","0.134375","0.112833","0.119878"
"Q_extraSD_12_IPHC_ORWA(12)","0.127812","0.116582","0.134035","0.125174","0.123726","0.105314","0.0879586","0.104496","0.138236","0.0971513","0.125582","0.126186","0.127907","0.124497","0.125343","0.127811","0.127411","0.12489","0.127127","0.127791","0.116582","0.146767","0.03135","0.0819509","0.149683","0.138927","0.125339"
"LnQ_base_6_OR_REC(6)_BLK2add_2005","-0.192652","-0.208294","-0.0929557","-0.18511","-0.186058","-0.407202","-0.456079","-0.411373","-0.33667","0.217022","-0.189656","-0.198096","-0.193691","-0.178199","-0.187867","-0.19264","-0.168755","-0.200434","-0.211411","-0.179292","-0.208294","-0.275216","-0.236734","-0.274782","-0.28117","-0.220374","-0.187829"
"SizeSel_P1_1_CA_TWL(1)","46.3619","46.3121","46.6383","46.394","46.4663","45.6824","45.288","45.664","46.4791","45.9263","46.3287","46.3614","46.3637","46.3344","46.3509","46.3619","46.2961","46.3189","46.3006","46.343","46.3121","44.5123","43.9137","46.3887","39.171","48.4585","46.3508"
"SizeSel_P3_1_CA_TWL(1)","5.13149","5.12407","5.16115","5.13423","5.14365","5.02465","4.96622","5.02158","5.1315","5.11606","5.12924","5.13129","5.13158","5.13028","5.13109","5.13149","5.12285","5.12765","5.12484","5.12893","5.12407","4.86636","4.858","5.12178","4.35187","5.32717","5.13108"
"SizeSel_P4_1_CA_TWL(1)","18.3765","18.3382","18.3446","18.3767","18.3672","18.3966","18.4204","18.3931","18.3577","18.441","18.3855","18.3784","18.3774","18.3824","18.3831","18.3774","18.3241","18.4095","18.4273","18.346","18.3382","18.3083","18.0032","17.9837","18.3173","18.1111","18.3811"
"SizeSel_P1_2_CA_NONTWL(2)","44.023","44.0737","43.7614","44.0051","43.9796","45.1341","45.4801","45.161","44.428","43.0822","43.9813","44.0089","44.027","43.9362","43.9732","44.0229","44.9275","43.5778","43.4412","44.5295","44.0737","46.3456","45.4695","45.5365","42.2492","44.8589","43.9731"
"SizeSel_P3_2_CA_NONTWL(2)","5.08508","5.09117","5.07352","5.08728","5.08839","5.13201","5.14233","5.13289","5.10448","5.04125","5.08546","5.08643","5.08531","5.08245","5.08453","5.08508","5.16065","5.04829","5.03228","5.1284","5.09117","5.17881","5.19605","5.20211","4.96913","5.13243","5.08452"
"SizeSel_P4_2_CA_NONTWL(2)","16.3866","15.6489","16.4567","16.3696","16.4837","10.351","9.71589","10.2855","16.1562","16.9671","16.3551","16.3518","16.3873","16.363","16.3628","16.3869","12.7369","16.7232","16.921","15.7707","15.6489","17.6169","6.56911","8.83816","6.546","17.0673","16.3629"
"SizeSel_P1_3_CA_REC(3)","43.5471","43.563","43.5903","43.5229","43.5011","43.5304","43.4261","43.5296","43.7122","43.0453","43.468","43.5028","43.5491","43.472","43.4895","43.5471","43.209","43.5968","43.6711","43.367","43.563","42.456","45.6665","44.6695","38.1311","43.7458","43.4894"
"SizeSel_P3_3_CA_REC(3)","5.3144","5.31724","5.32645","5.31306","5.31399","5.25879","5.22683","5.25717","5.31109","5.31954","5.30908","5.31064","5.31443","5.31053","5.31073","5.3144","5.29369","5.31624","5.3202","5.30367","5.31724","5.17693","5.44751","5.351","4.88986","5.31707","5.31073"
"SizeSel_P1_4_ORWA_TWL(4)","51.6344","54.7389","59.9918","52.8875","53.1257","48.5098","47.6779","48.4407","51.5027","52.3179","52.6506","52.5279","51.6351","52.5159","52.521","51.6345","54.6992","51.0257","49.6245","53.1994","54.7389","59.9977","38.9315","44.2018","46.0348","54.0234","52.5211"
"SizeSel_P3_4_ORWA_TWL(4)","5.90932","6.11904","6.36033","5.98624","5.99462","5.6775","5.63044","5.6728","5.88202","6.00247","5.96863","5.96111","5.90916","5.96335","5.96206","5.90933","6.09644","5.88014","5.79543","6.00261","6.11904","6.06984","5.18189","5.5364","5.61392","6.13812","5.96207"
