"","Label","Type","Reference","NWFSC biased","WDFW biased","WDFW w/ ADFG","NWFSC w/ ADFG","M est","NMT prior, fixed","NMT prior, est.","h est","2011 h value","2011 L-W","2011 maturity","spline maturity","2011 fecundity","All years -50%","All years +50%","Comm. -50%","Comm. +50%","Rec. -50%","Rec. +50%","Lumped comp data","No rec devs","Est. dome sel","harm. mean wgting","1 area","2 sex","Rec. sel. dome"
"63",NA,"X12_IPHC_ORWA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"6","Age_likelihood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",NA,"ALL",4502.04,4539.77,4520.39,4498.14,4502.65,4505.41,4506.75,4505.56,4503.35,4498,4500.71,4500.72,4502.05,4500.43,4500.57,4502.04,4504.87,4499.25,4499.87,4503.66,4539.77,4645.42,4481.29,3633.96,4510.12,3348.45,4500.57
"65",NA,"X1_CA_TWL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66",NA,"X2_CA_NONTWL",127.794,127.988,129.94,127.797,127.422,128.224,128.31,128.238,127.953,127.462,127.676,127.688,127.796,127.656,127.673,127.794,127.866,127.651,127.763,127.831,127.988,129.244,126.366,120.38,129.4,72.1458,127.673
"67",NA,"X3_CA_REC",381.972,370.404,374.235,381.923,382.789,382.445,382.216,382.456,382.16,381.805,381.77,381.744,381.973,381.695,381.715,381.972,383.379,381.097,381.12,382.743,370.404,403.798,369.35,303.379,389.832,214.34,381.715
"68",NA,"X4_ORWA_TWL",491.332,494.795,490.738,490.784,491.18,493.495,494.725,493.566,491.274,491.358,491.265,491.26,491.333,491.269,491.274,491.332,490.94,491.484,491.626,491.107,494.795,506.362,492.266,434.992,491.585,306.211,491.274
"69",NA,"X5_ORWA_NONTWL",582.112,584.303,586.863,582.205,581.574,581.081,580.597,581.05,582.034,582.402,582.063,582.049,582.107,582.076,582.052,582.112,582.645,581.816,581.744,582.416,584.303,608.593,583.278,303.457,580.743,384.383,582.052
"70",NA,"X6_OR_REC",723.73,729.525,724.709,720.458,723.181,728.405,731.092,728.572,724.047,722.822,723.534,723.51,723.734,723.428,723.469,723.73,724.17,723.167,723.218,724.014,729.525,746.995,724.699,576.1,720.896,455.928,723.468
"71",NA,"X7_WA_REC",1061.12,1065.24,1076.24,1061.6,1059.53,1056.19,1054.3,1056.08,1060.74,1061.85,1061.12,1061.12,1061.11,1061.2,1061.15,1061.12,1061.12,1061.12,1061.11,1061.13,1065.24,1090.94,1061.18,260.108,1061.47,663.675,1061.15
"72",NA,"X8_CACPFV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73",NA,"X9_OR_RECOB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74",NA,"X10_TRI_ORWA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75",NA,"X11_NWFSC_ORWA",955.272,998.285,972.682,955.428,958.769,955.136,954.681,955.129,955.668,954.225,954.987,955.008,955.274,954.928,954.965,955.272,955.827,954.72,954.821,955.589,998.285,976.993,951.729,730.936,955.573,1136.85,954.965
"76",NA,"X12_IPHC_ORWA",178.707,169.237,164.986,177.949,178.2,180.429,180.835,180.475,179.474,176.076,178.289,178.342,178.719,178.184,178.273,178.707,178.919,178.194,178.475,178.836,169.237,182.497,172.416,904.606,180.626,114.921,178.273
"7","Age_lambda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",NA,"ALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",NA,"X1_CA_TWL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"79",NA,"X2_CA_NONTWL",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"80",NA,"X3_CA_REC",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"81",NA,"X4_ORWA_TWL",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"82",NA,"X5_ORWA_NONTWL",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"83",NA,"X6_OR_REC",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"84",NA,"X7_WA_REC",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"85",NA,"X8_CACPFV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86",NA,"X9_OR_RECOB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"87",NA,"X10_TRI_ORWA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"88",NA,"X11_NWFSC_ORWA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"89",NA,"X12_IPHC_ORWA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"8","Parameters",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",NA,"NatM_p_1_Fem_GP_1",0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0584206,0.066,0.0588683,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034
"91",NA,"L_at_Amin_Fem_GP_1",8.60618,9.40573,7.01357,8.60184,8.52381,8.42312,8.18324,8.41843,8.55954,8.88173,8.46708,8.46297,8.60551,8.46684,8.46427,8.60619,8.71495,8.42818,8.53938,8.66542,9.40573,8.85795,6.5791,10.8265,8.92016,10,8.46431
"92",NA,"L_at_Amax_Fem_GP_1",63.4541,63.1913,64.1151,63.4636,63.3969,63.5074,63.4803,63.5083,63.4836,63.3829,63.415,63.4169,63.4546,63.4101,63.4147,63.4541,63.4839,63.3997,63.4253,63.4724,63.1913,63.3447,64.9948,62.1504,63.2228,62.3595,63.4146
"93",NA,"VonBert_K_Fem_GP_1",0.0649209,0.0638496,0.0682512,0.0649414,0.0654617,0.0646381,0.064966,0.0646313,0.0647522,0.0651522,0.0652936,0.0652842,0.0649189,0.0653243,0.0653013,0.0649209,0.0645935,0.0654359,0.0651559,0.064736,0.0638496,0.0646694,0.0667421,0.0617775,0.0645001,0.0625281,0.0653014
"94",NA,"CV_young_Fem_GP_1",0.189159,0.17969,0.188988,0.191245,0.181747,0.191716,0.193444,0.191785,0.189749,0.186803,0.189636,0.189686,0.189171,0.189599,0.189647,0.189159,0.189045,0.189571,0.189127,0.189116,0.17969,0.180409,0.203783,0.181393,0.185838,0.190284,0.189647
"95",NA,"CV_old_Fem_GP_1",0.0547888,0.0575194,0.0555833,0.0544567,0.0555375,0.0538102,0.0533313,0.0537822,0.0546229,0.0553384,0.0547701,0.0547572,0.0547842,0.0547893,0.0547717,0.0547888,0.0548106,0.0547786,0.054803,0.054797,0.0575194,0.0560404,0.0546345,0.0690965,0.0548416,0.0558438,0.0547718
"96",NA,"Wtlen_1_Fem",7.31281e-06,7.31281e-06,7.31281e-06,7.31281e-06,7.31281e-06,7.31281e-06,7.31281e-06,7.31281e-06,7.31281e-06,7.31281e-06,9.7659e-06,7.31281e-06,7.31281e-06,7.31281e-06,7.31281e-06,7.31281e-06,7.31281e-06,7.31281e-06,7.31281e-06,7.31281e-06,7.31281e-06,7.31281e-06,7.31281e-06,7.31281e-06,7.31281e-06,7.5103e-06,7.31281e-06
"97",NA,"Wtlen_2_Fem",3.24248,3.24248,3.24248,3.24248,3.24248,3.24248,3.24248,3.24248,3.24248,3.24248,3.17125,3.24248,3.24248,3.24248,3.24248,3.24248,3.24248,3.24248,3.24248,3.24248,3.24248,3.24248,3.24248,3.24248,3.24248,3.24024,3.24248
"98",NA,"Mat50%_Fem",42.0705,42.0705,42.0705,42.0705,42.0705,42.0705,42.0705,42.0705,42.0705,42.0705,42.0705,38.78,41.765,42.0705,42.0705,42.0705,42.0705,42.0705,42.0705,42.0705,42.0705,42.0705,42.0705,42.0705,42.0705,42.0705,42.0705
"99",NA,"Mat_slope_Fem",-0.402214,-0.402214,-0.402214,-0.402214,-0.402214,-0.402214,-0.402214,-0.402214,-0.402214,-0.402214,-0.402214,-0.437,-0.36886,-0.402214,-0.402214,-0.402214,-0.402214,-0.402214,-0.402214,-0.402214,-0.402214,-0.402214,-0.402214,-0.402214,-0.402214,-0.402214,-0.402214
"100",NA,"Eggs_scalar_Fem",7.21847e-08,7.21847e-08,7.21847e-08,7.21847e-08,7.21847e-08,7.21847e-08,7.21847e-08,7.21847e-08,7.21847e-08,7.21847e-08,7.21847e-08,7.21847e-08,7.21847e-08,NA,7.21847e-08,7.21847e-08,7.21847e-08,7.21847e-08,7.21847e-08,7.21847e-08,7.21847e-08,7.21847e-08,7.21847e-08,7.21847e-08,7.21847e-08,7.21847e-08,7.21847e-08
"101",NA,"Eggs_exp_len_Fem",4.043,4.043,4.043,4.043,4.043,4.043,4.043,4.043,4.043,4.043,4.043,4.043,4.043,NA,4.043,4.043,4.043,4.043,4.043,4.043,4.043,4.043,4.043,4.043,4.043,4.043,4.043
"102",NA,"RecrDist_GP_1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"103",NA,"RecrDist_Area_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"104",NA,"RecrDist_Area_2",0.414894,0.425273,0.351393,0.406374,0.402593,0.60242,0.768949,0.610127,0.428935,0.388414,0.40996,0.408688,0.414941,0.407318,0.407894,0.414893,0.187946,0.52332,0.593142,0.286045,0.425273,0.436646,1.7923,0.63615,NA,0.402301,0.407893
"105",NA,"RecrDist_month_1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"106",NA,"CohortGrowDev",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"107",NA,"FracFemale_GP_1",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"108",NA,"SR_LN(R0)",5.39305,5.43005,5.2634,5.38166,5.38292,6.14155,6.57644,6.16587,5.38937,5.39957,5.38236,5.38727,5.3931,5.38644,4.69364,5.79852,4.96373,5.69156,5.23719,5.53249,5.43005,5.38244,6.35462,5.60068,5.38502,5.4785,5.3868
